Feature ID	Accession ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|6666666.353979.peg.97	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	112515	111556	-3	-	960	COG1683: Uncharacterized conserved protein / FIG143828: Hypothetical protein YbgA	EC699-706	 	 
fig|6666666.353979.peg.98	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	113027	112617	-2	-	411	Transthyretin family protein	- none -	 	 
fig|6666666.353979.peg.99	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	113852	113127	-2	-	726	Transcriptional regulator, MerR family, associated with photolyase	CBSS-291331.3.peg.3674	 	 
fig|6666666.353979.peg.100	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	113970	114494	3	+	525	Outer membrane lipoprotein blc precursor	- none -	 	 
fig|6666666.353979.peg.101	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	114572	115570	2	+	999	hypothetical protein	- none -	 	 
fig|6666666.353979.peg.102	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	115671	116114	3	+	444	Histone acetyltransferase HPA2 and related acetyltransferases	CBSS-216591.1.peg.168	 	 
fig|6666666.353979.peg.103	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	116303	116148	-2	-	156	hypothetical protein	- none -	 	 
fig|6666666.353979.peg.104	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	116908	116732	-1	-	177	hypothetical protein	- none -	 	 
fig|6666666.353979.peg.105	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	118208	117180	-2	-	1029	Putative DNA-binding protein in cluster with Type I restriction-modification system	Restriction-Modification System	 	 
fig|6666666.353979.peg.106	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	118608	118267	-3	-	342	hypothetical protein	- none -	 	 
fig|6666666.353979.peg.107	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	118734	118925	3	+	192	hypothetical protein	- none -	 	 
fig|6666666.353979.peg.108	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	119813	121204	2	+	1392	Xyloside transporter XynT	Xylose utilization	 	 
fig|6666666.353979.peg.109	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	121217	123535	2	+	2319	Alpha-xylosidase (EC 3.2.1.-)	Xylose utilization	 	 
fig|6666666.353979.peg.110	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	125314	123626	-1	-	1689	FIG01200701: possible membrane protein	- none -	 	 
fig|6666666.353979.peg.111	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	126825	125434	-3	-	1392	Xanthine permease	Purine Utilization; <br>Xanthine Metabolism in Bacteria	 	 
fig|6666666.353979.peg.112	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	127051	128253	1	+	1203	Sodium/glutamate symport protein	Glutamate and Aspartate uptake in Bacteria	 	 
fig|6666666.353979.peg.113	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	130337	128256	-2	-	2082	ATP-dependent DNA helicase RecG (EC 3.6.1.-)	- none -	 	 
fig|6666666.353979.peg.114	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	131030	130341	-2	-	690	tRNA (guanosine(18)-2&#39;-O)-methyltransferase (EC 2.1.1.34)	RNA methylation; <br>tRNA modification Bacteria	 	 
fig|6666666.353979.peg.115	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	133149	131035	-3	-	2115	GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II / Guanosine-3&#39;,5&#39;-bis(diphosphate) 3&#39;-pyrophosphohydrolase (EC 3.1.7.2)	CBSS-176299.4.peg.1292; <br>CBSS-176299.4.peg.1292; <br>Stringent Response, (p)ppGpp metabolism; <br>Stringent Response, (p)ppGpp metabolism	 	 
fig|6666666.353979.peg.116	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	133444	133169	-1	-	276	DNA-directed RNA polymerase omega subunit (EC 2.7.7.6)	CBSS-176299.4.peg.1292; <br>RNA polymerase bacterial	 	 
fig|6666666.353979.peg.117	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	134122	133499	-1	-	624	Guanylate kinase (EC 2.7.4.8)	CBSS-323097.3.peg.2594; <br>Purine conversions	 	 
fig|6666666.353979.peg.118	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	134373	136043	3	+	1671	DNA ligase (EC 6.5.1.2), LigB	- none -	 	 
fig|6666666.353979.peg.119	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	136663	136046	-1	-	618	Putative inner membrane protein	- none -	 	 
fig|6666666.353979.peg.120	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	136848	136711	-3	-	138	hypothetical protein	- none -	 	 
fig|6666666.353979.peg.121	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	137728	136823	-1	-	906	Protein YicC	CBSS-323097.3.peg.2594	 	 
fig|6666666.353979.peg.122	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	137854	138570	1	+	717	Ribonuclease PH (EC 2.7.7.56)	Heat shock dnaK gene cluster extended; <br>tRNA processing	 	 
fig|6666666.353979.peg.123	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	138638	139279	2	+	642	Orotate phosphoribosyltransferase (EC 2.4.2.10)	De Novo Pyrimidine Synthesis	 	 
fig|6666666.353979.peg.124	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	139917	139321	-3	-	597	Transcriptional regulator SlmA, TetR family	- none -	 	 
fig|6666666.353979.peg.125	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	140493	140038	-3	-	456	Deoxyuridine 5&#39;-triphosphate nucleotidohydrolase (EC 3.6.1.23)	Housecleaning nucleoside triphosphate pyrophosphatases; <br>Nudix proteins (nucleoside triphosphate hydrolases)	 	 
fig|6666666.353979.peg.126	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	141688	140474	-1	-	1215	Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)	Coenzyme A Biosynthesis; <br>Coenzyme A Biosynthesis	 	 
fig|6666666.353979.peg.127	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	141856	142524	1	+	669	DNA repair protein RadC	Bacterial cell division cluster; <br>DNA repair, bacterial	 	 
fig|6666666.353979.peg.128	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	142779	142979	3	+	201	LSU ribosomal protein L28p	Ribosome LSU bacterial	 	 
fig|6666666.353979.peg.129	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	143002	143169	1	+	168	LSU ribosomal protein L33p @ LSU ribosomal protein L33p, zinc-independent	Ribosome LSU bacterial; <br>Ribosome LSU bacterial	 	 
